application_mix,app_mix_label,policy,app_mix_str,num_apps,total_edges,total_nodes,sim_ticks,sim_seconds,final_tick,host_seconds,sim_insts,system.cpu.cpi,system.cpu.ipc,mem_ctrls.bw_total::total,dag_deadlines_met,node_deadlines_met,percent_dag_deadlines_met,percent_node_deadlines_met,num_forwards,num_colocations,forwards_only,percent_forwards,percent_colocations,total_dags,avg_deadline_difference,max_deadline_difference,min_deadline_difference,median_deadline_difference,avg_slowdown,max_slowdown,min_slowdown,median_slowdown,slowdown_p25,slowdown_p75
canny-deblur-harris,CDH,LL,canny_1_deblur_1_gru_0_harris_1_lstm_0_,3,66,52,24754614375.0,0.024755,25316118750.0,6334.37,387148.0,3.939193,0.253859,141335750.0,0,20,0.0,38.46153846153846,13,3,10,19.696969696969695,4.545454545454546,52,4788.0,8086.0,610.0,5668.0,1.2872742545149096,1.4851502969940602,1.0365992680146396,1.3400731985360292,1.1883362332753344,1.4126117477650446
canny-deblur-harris,CDH,HetSched,canny_1_deblur_1_gru_0_harris_1_lstm_0_,3,66,52,24737060625.0,0.024737,25298328125.0,10039.86,385419.0,3.900798,0.256358,133490719.0,1,24,33.333333333333336,46.15384615384615,14,4,10,21.21212121212121,6.0606060606060606,52,3119.0,8069.0,-3776.0,5064.0,1.1871362572748545,1.4841303173936522,0.7734445311093778,1.3038339233215335,1.0386392272154557,1.3939821203575928
canny-deblur-harris,CDH,ELF,canny_1_deblur_1_gru_0_harris_1_lstm_0_,3,66,52,24801045625.0,0.024801,25361700000.0,10380.97,472132.0,2.64545,0.378007,127915575.0,0,22,0.0,42.30769230769231,46,7,39,69.6969696969697,10.606060606060606,52,4503.0,8133.0,1284.0,4092.0,1.2701745965080697,1.487970240595188,1.0770384592308153,1.2455150896982061,1.1612767744645107,1.3667426651466972
canny-deblur-lstm,CDL,FCFS,canny_1_deblur_1_gru_0_harris_0_lstm_1_,3,218,178,18922453125.0,0.018922,25027582500.0,35987.17,7214779.0,4.497314,0.222355,1259450867.0,2,158,66.66666666666667,88.76404494382022,68,38,30,31.19266055045872,17.431192660550458,178,-3402.3333333333335,2254.0,-11086.0,-1375.0,0.7660718660626787,1.135237295254095,0.33485330293394133,0.828125,0.5814891514669707,0.9816811476270475
canny-deblur-lstm,CDL,GEDF_D,canny_1_deblur_1_gru_0_harris_0_lstm_1_,3,218,178,19772966875.0,0.019773,25878251250.0,36048.16,7217473.0,4.426223,0.225926,1168831170.0,2,158,66.66666666666667,88.76404494382022,74,43,31,33.94495412844037,19.724770642201836,178,-3015.0,3105.0,-10489.0,-1661.0,0.7831146202075958,1.1862962740745184,0.370672586548269,0.792375,0.5815237932741345,0.9893356370372592
canny-deblur-lstm,CDL,GEDF_N,canny_1_deblur_1_gru_0_harris_0_lstm_1_,3,218,178,18884163125.0,0.018884,24989407500.0,35549.53,7227448.0,4.475878,0.22342,1334869850.0,2,160,66.66666666666667,89.88764044943821,56,25,31,25.688073394495415,11.46788990825688,178,-2416.3333333333335,2216.0,-8194.0,-1271.0,0.8274840578188437,1.132957340853183,0.5083698326033479,0.841125,0.674747416301674,0.9870411704265916
canny-deblur-lstm,CDL,LAX,canny_1_deblur_1_gru_0_harris_0_lstm_1_,3,218,178,18930675000.0,0.018931,25037486250.0,29794.88,7657411.0,2.45662,0.407063,1286673402.0,2,160,66.66666666666667,89.88764044943821,63,32,31,28.899082568807337,14.678899082568808,178,-2908.6666666666665,2263.0,-9755.0,-1234.0,0.7987463300733985,1.1357772844543108,0.4147117057658847,0.84575,0.6302308528829423,0.9907636422271554
canny-deblur-lstm,CDL,ELFD,canny_1_deblur_1_gru_0_harris_0_lstm_1_,3,218,178,18905552500.0,0.018906,25011310000.0,26329.0,7217561.0,4.443018,0.225072,1236301134.0,2,160,66.66666666666667,89.88764044943821,73,43,30,33.48623853211009,19.724770642201836,178,-3040.6666666666665,2238.0,-9800.0,-1560.0,0.7837630247395051,1.1342773144537108,0.4120117597648047,0.805,0.6085058798824023,0.9696386572268554
canny-deblur-lstm,CDL,LL,canny_1_deblur_1_gru_0_harris_0_lstm_1_,3,218,178,18897010000.0,0.018897,25099002500.0,16666.98,7300989.0,3.84612,0.260002,1334101215.0,2,160,66.66666666666667,89.88764044943821,23,23,0,10.550458715596331,10.550458715596331,178,-2401.3333333333335,2229.0,-8183.0,-1250.0,0.8288390482190356,1.133737325253495,0.5090298194036119,0.84375,0.676389909701806,0.9887436626267475
canny-deblur-lstm,CDL,HetSched,canny_1_deblur_1_gru_0_harris_0_lstm_1_,3,218,178,18887506250.0,0.018888,25031096250.0,26856.18,7263400.0,3.704742,0.269924,966986523.0,2,160,66.66666666666667,89.88764044943821,78,78,0,35.77981651376147,35.77981651376147,178,-2779.6666666666665,2219.0,-8212.0,-2346.0,0.7823923971520571,1.133137337253255,0.507289854202916,0.70675,0.607019927101458,0.9199436686266275
canny-deblur-lstm,CDL,ELF,canny_1_deblur_1_gru_0_harris_0_lstm_1_,3,218,178,18932175625.0,0.018932,25038273125.0,30560.24,7434353.0,2.608994,0.383289,670342186.0,2,160,66.66666666666667,89.88764044943821,155,122,33,71.10091743119266,55.96330275229357,178,-3544.6666666666665,2265.0,-9798.0,-3101.0,0.7201346798064039,1.135897282054359,0.4121317573648527,0.612375,0.5122533786824264,0.8741361410271795
canny-gru-harris,CGH,FCFS,canny_1_deblur_0_gru_1_harris_1_lstm_0_,3,185,150,9339256875.0,0.009339,14801801250.0,29053.05,6950644.0,4.39047,0.227766,1842474217.0,3,150,100.0,100.0,82,64,18,44.32432432432433,34.5945945945946,150,-7244.666666666667,-2806.0,-11600.0,-7328.0,0.5045309043819124,0.64925,0.3040139197216056,0.5603287934241316,0.43217135657286854,0.6047893967120658
