application_mix,app_mix_label,policy,app_mix_str,num_apps,total_edges,total_nodes,sim_ticks,sim_seconds,final_tick,host_seconds,sim_insts,system.cpu.cpi,system.cpu.ipc,mem_ctrls.bw_total::total,dag_deadlines_met,node_deadlines_met,percent_dag_deadlines_met,percent_node_deadlines_met,num_forwards,num_colocations,forwards_only,percent_forwards,percent_colocations,total_dags,avg_deadline_difference,max_deadline_difference,min_deadline_difference,median_deadline_difference,avg_slowdown,max_slowdown,min_slowdown,median_slowdown,slowdown_p25,slowdown_p75
canny-deblur-gru-harris,CDGH,FCFS,canny_1_deblur_1_gru_1_harris_1_lstm_0_,4,215,172,25412330625.0,0.025412,29101098125.0,26885.74,7784983.0,3.407664,0.293456,787944730.0,2,129,50.0,75.0,84,61,23,39.06976744186046,28.37209302325581,172,-921.25,8745.0,-9346.0,-1542.0,0.9559875633737325,1.5246895062098758,0.43925121497570047,0.9300047661546769,0.6898512029759404,1.1961411265524688
canny-deblur-gru-harris,CDGH,GEDF_D,canny_1_deblur_1_gru_1_harris_1_lstm_0_,4,215,172,26229093750.0,0.026229,29918438125.0,27219.06,7689357.0,3.39959,0.294153,723384505.0,3,152,75.0,88.37209302325581,92,67,25,42.7906976744186,31.16279069767442,172,-545.25,9561.0,-8651.0,-1545.5,0.9651568649877003,1.5736485270294593,0.48095038099238013,0.9030142759644807,0.7370402591948161,1.1311308817573649
canny-deblur-gru-harris,CDGH,GEDF_N,canny_1_deblur_1_gru_1_harris_1_lstm_0_,4,215,172,25299890000.0,0.0253,28989133125.0,26679.3,7895971.0,3.393111,0.294715,832869708.0,1,125,25.0,72.67441860465117,76,58,18,35.348837209302324,26.976744186046513,172,2876.5,8632.0,-3265.0,3069.5,1.1810204539659206,1.5179096418071638,0.8041039179216416,1.2010341280674388,0.9996822294804104,1.3823723525529488
canny-deblur-gru-harris,CDGH,LAX,canny_1_deblur_1_gru_1_harris_1_lstm_0_,4,215,172,25558193750.0,0.025558,29249443125.0,17806.67,8058175.0,3.15656,0.316801,747529195.0,2,150,50.0,87.20930232558139,95,71,24,44.18604651162791,33.02325581395349,172,398.75,8890.0,-4568.0,-1363.5,1.032017170906582,1.5333893322133558,0.7259254814903702,0.9343769349613007,0.7863592728145437,1.180034833053339
canny-deblur-gru-harris,CDGH,ELF,canny_1_deblur_1_gru_1_harris_1_lstm_0_,4,215,172,25274436250.0,0.025274,28965571250.0,17780.96,7519033.0,3.172859,0.315173,571843259.0,1,142,25.0,82.55813953488372,132,110,22,61.395348837209305,51.162790697674424,172,3326.25,8607.0,-1510.0,3104.0,1.1750330555888882,1.5164096718065638,0.81125,1.1862362752744944,1.0281859925301495,1.3330833383332332
canny-deblur-gru-lstm,CDGL,FCFS,canny_1_deblur_1_gru_1_harris_0_lstm_1_,4,367,298,22036259375.0,0.022036,29336733750.0,38390.55,16399701.0,3.383083,0.295588,2249634621.0,1,62,25.0,20.80536912751678,30,16,14,8.174386920980927,4.35967302452316,298,5131.25,13650.0,-10214.0,8544.5,1.7201552037709247,2.70625,0.3871722565548689,1.8935992792644147,1.0883482330353393,2.5254062499999996
canny-deblur-gru-lstm,CDGL,GEDF_D,canny_1_deblur_1_gru_1_harris_0_lstm_1_,4,367,298,34221660000.0,0.034222,41523008125.0,37744.14,16271342.0,3.371821,0.296576,1402705421.0,0,56,0.0,18.79194630872483,42,19,23,11.444141689373296,5.177111716621254,298,11213.5,17554.0,3948.0,11676.0,2.0522735495290094,2.57275,1.23687526249475,2.199734467810644,1.8491330173396532,2.402875
canny-deblur-gru-lstm,CDGL,GEDF_N,canny_1_deblur_1_gru_1_harris_0_lstm_1_,4,367,298,28927875625.0,0.028928,36229465625.0,37881.32,16351867.0,3.37352,0.296426,1687742738.0,0,66,0.0,22.14765100671141,36,19,17,9.809264305177113,5.177111716621254,298,10561.75,12934.0,4202.0,12555.5,2.0527063114987696,2.61675,1.252114957700846,2.170980144147117,1.6147177056458872,2.60896875
canny-deblur-gru-lstm,CDGL,LAX,canny_1_deblur_1_gru_1_harris_0_lstm_1_,4,367,298,21829656875.0,0.02183,29131436875.0,27288.15,17186746.0,3.149106,0.31755,2263634481.0,1,72,25.0,24.161073825503355,32,20,12,8.71934604904632,5.449591280653951,298,6070.75,14259.0,-9301.0,9662.5,1.8261037416751664,2.782375,0.44195116097678044,2.040044402861943,1.0927731445371094,2.773375
canny-deblur-gru-lstm,CDGL,ELF,canny_1_deblur_1_gru_1_harris_0_lstm_1_,4,367,298,21538746250.0,0.021539,28840071250.0,27907.16,14377659.0,3.157949,0.316661,1128811293.0,1,117,25.0,39.261744966442954,240,223,17,65.39509536784742,60.76294277929155,298,2669.25,4924.0,-3826.0,4789.5,1.31667468650627,1.6155,0.7704445911081779,1.440377077458451,1.161801763964721,1.59525
