application,app_instance_count,policy,app_mix_str,num_edges,num_nodes,deadline,sim_ticks,sim_seconds,final_tick,host_seconds,sim_insts,system.cpu.cpi,system.cpu.ipc,mem_ctrls.bw_total::total,dag_deadlines_met,node_deadlines_met,percent_dag_deadlines_met,percent_node_deadlines_met,num_forwards,num_colocations,forwards_only,percent_forwards,percent_colocations,total_dags
canny,1,FCFS,canny_1_deblur_0_gru_0_harris_0_lstm_0_,14,12,16667,3728930000.0,0.003729,3885210000.0,2156.2,95468.0,4.801298,0.208277,132340376.0,1,12,100.0,100.0,11,3,8,78.57142857142857,21.428571428571427,12
canny,1,GEDF_D,canny_1_deblur_0_gru_0_harris_0_lstm_0_,14,12,16667,3729095000.0,0.003729,3885465000.0,2200.8,95553.0,4.797992,0.208421,132351683.0,1,12,100.0,100.0,11,3,8,78.57142857142857,21.428571428571427,12
canny,1,GEDF_N,canny_1_deblur_0_gru_0_harris_0_lstm_0_,14,12,16667,3736615000.0,0.003737,3892990000.0,2437.3,95188.0,4.816509,0.207619,114546454.0,1,12,100.0,100.0,12,4,8,85.71428571428571,28.57142857142857,12
canny,1,LAX,canny_1_deblur_0_gru_0_harris_0_lstm_0_,14,12,16667,3753091250.0,0.003753,3910231250.0,2469.6,115655.0,3.410878,0.29318,114043590.0,1,12,100.0,100.0,12,4,8,85.71428571428571,28.57142857142857,12
canny,1,HetSched,canny_1_deblur_0_gru_0_harris_0_lstm_0_,14,12,16667,3733503750.0,0.003734,3890493125.0,2154.25,99396.0,4.389606,0.227811,132195394.0,1,12,100.0,100.0,11,3,8,78.57142857142857,21.428571428571427,12
canny,1,ELF,canny_1_deblur_0_gru_0_harris_0_lstm_0_,14,12,16667,3754383750.0,0.003754,3911513125.0,2550.58,114371.0,3.535256,0.282865,114004329.0,1,12,100.0,100.0,12,4,8,85.71428571428571,28.57142857142857,12
canny,2,FCFS,canny_2_deblur_0_gru_0_harris_0_lstm_0_,14,12,16667,50055226875.0,0.050055,56001305000.0,36497.8,3288179.0,4.174088,0.239573,205768002.0,16,36,1600.0,300.0,20,4,16,142.85714285714286,28.57142857142857,198
canny,2,GEDF_D,canny_2_deblur_0_gru_0_harris_0_lstm_0_,14,12,16667,50052957500.0,0.050053,55999405000.0,36850.25,3290112.0,4.170405,0.239785,205778610.0,16,36,1600.0,300.0,20,4,16,142.85714285714286,28.57142857142857,198
canny,2,GEDF_N,canny_2_deblur_0_gru_0_harris_0_lstm_0_,14,12,16667,50046640000.0,0.050047,55993087500.0,40951.66,3284191.0,4.147545,0.241107,184852609.0,16,36,1600.0,300.0,22,6,16,157.14285714285714,42.857142857142854,198
canny,2,LAX,canny_2_deblur_0_gru_0_harris_0_lstm_0_,14,12,16667,50143298750.0,0.050143,56091273125.0,41144.45,3654451.0,2.642372,0.378448,184586899.0,16,36,1600.0,300.0,22,6,16,157.14285714285714,42.857142857142854,198
canny,2,HetSched,canny_2_deblur_0_gru_0_harris_0_lstm_0_,14,12,16667,50640318750.0,0.05064,56588561250.0,36290.0,3369930.0,3.647668,0.274148,191247374.0,17,36,1700.0,300.0,22,6,16,157.14285714285714,42.857142857142854,208
canny,2,ELF,canny_2_deblur_0_gru_0_harris_0_lstm_0_,14,12,16667,50142604375.0,0.050143,56089708750.0,41934.46,3622594.0,2.664905,0.375248,172784962.0,16,36,1600.0,300.0,22,6,16,157.14285714285714,42.857142857142854,197
canny,3,FCFS,canny_3_deblur_0_gru_0_harris_0_lstm_0_,14,12,16667,50112798750.0,0.050113,59027731875.0,36837.61,4761156.0,4.186185,0.238881,227254120.0,15,72,1500.0,600.0,27,3,24,192.85714285714286,21.428571428571427,197
canny,3,GEDF_D,canny_3_deblur_0_gru_0_harris_0_lstm_0_,14,12,16667,50108051875.0,0.050108,59023556875.0,37066.44,4763497.0,4.176343,0.239444,227276926.0,15,72,1500.0,600.0,27,3,24,192.85714285714286,21.428571428571427,197
canny,3,GEDF_N,canny_3_deblur_0_gru_0_harris_0_lstm_0_,14,12,16667,50104159375.0,0.050104,59019664375.0,41540.75,4757558.0,4.172266,0.239678,206366660.0,15,72,1500.0,600.0,30,6,24,214.28571428571428,42.857142857142854,197
canny,3,LAX,canny_3_deblur_0_gru_0_harris_0_lstm_0_,14,12,16667,50235106250.0,0.050235,59151249375.0,41281.56,5140592.0,2.64048,0.378719,205923004.0,15,72,1500.0,600.0,30,6,24,214.28571428571428,42.857142857142854,197
canny,3,HetSched,canny_3_deblur_0_gru_0_harris_0_lstm_0_,14,12,16667,50642826250.0,0.050643,59558589375.0,37051.6,4845745.0,3.630127,0.275472,192952896.0,17,72,1700.0,600.0,33,9,24,235.71428571428572,64.28571428571429,210
