application,app_instance_count,policy,app_mix_str,num_edges,num_nodes,deadline,sim_ticks,sim_seconds,final_tick,host_seconds,sim_insts,system.cpu.cpi,system.cpu.ipc,mem_ctrls.bw_total::total,dag_deadlines_met,node_deadlines_met,percent_dag_deadlines_met,percent_node_deadlines_met,num_forwards,num_colocations,forwards_only,percent_forwards,percent_colocations,total_dags
deblur,1,GEDF_N,canny_0_deblur_1_gru_0_harris_0_lstm_0_,30,22,16667,16052690625.0,0.016053,16241730000.0,4564.12,133689.0,4.333956,0.230736,46102926.0,1,22,100.0,100.0,26,0,26,86.66666666666667,0.0,22
deblur,1,LAX,canny_0_deblur_1_gru_0_harris_0_lstm_0_,30,22,16667,16098076875.0,0.016098,16287881250.0,4616.34,182292.0,3.099246,0.322659,45976920.0,1,22,100.0,100.0,26,0,26,86.66666666666667,0.0,22
deblur,1,HetSched,canny_0_deblur_1_gru_0_harris_0_lstm_0_,30,22,16667,16063113750.0,0.016063,16252768125.0,4651.1,140827.0,4.077276,0.245262,46076994.0,1,22,100.0,100.0,26,0,26,86.66666666666667,0.0,22
deblur,1,ELF,canny_0_deblur_1_gru_0_harris_0_lstm_0_,30,22,16667,16099456250.0,0.016099,16289293750.0,4587.22,178546.0,3.211705,0.311361,45972981.0,1,22,100.0,100.0,26,0,26,86.66666666666667,0.0,22
deblur,2,FCFS,canny_0_deblur_2_gru_0_harris_0_lstm_0_,30,22,16667,50281742500.0,0.050282,52063207500.0,12626.8,989708.0,4.400757,0.227234,67492013.0,0,6,0,27.272727272727273,26,0,26,86.66666666666667,0.0,71
deblur,2,GEDF_D,canny_0_deblur_2_gru_0_harris_0_lstm_0_,30,22,16667,50280059375.0,0.05028,52062524375.0,12523.99,989951.0,4.389527,0.227815,67492999.0,0,6,0,27.272727272727273,26,0,26,86.66666666666667,0.0,71
deblur,2,GEDF_N,canny_0_deblur_2_gru_0_harris_0_lstm_0_,30,22,16667,50278752500.0,0.050279,52061217500.0,12496.42,989951.0,4.390194,0.22778,67494753.0,0,6,0,27.272727272727273,26,0,26,86.66666666666667,0.0,71
deblur,2,LAX,canny_0_deblur_2_gru_0_harris_0_lstm_0_,30,22,16667,50335783750.0,0.050336,52119448750.0,12592.45,1160026.0,2.533247,0.39475,67461510.0,0,6,0,27.272727272727273,26,0,26,86.66666666666667,0.0,71
deblur,2,HetSched,canny_0_deblur_2_gru_0_harris_0_lstm_0_,30,22,16667,50292843750.0,0.050293,52075853750.0,12747.45,1013626.0,3.944806,0.253498,67480933.0,0,6,0,27.272727272727273,26,0,26,86.66666666666667,0.0,71
deblur,2,ELF,canny_0_deblur_2_gru_0_harris_0_lstm_0_,30,22,16667,50331271875.0,0.050331,52114711875.0,12508.55,1156100.0,2.618627,0.381879,67484088.0,0,6,0,27.272727272727273,26,0,26,86.66666666666667,0.0,71
