Execution time(us),Total energy consumption(J),EDP
3588.928,0.0009511671000000096,3.4136702378688346
15988.0,0.00423742869999917,67.74801005558673
2296.0,0.0005098200000000039,1.170546720000009
6212.01,0.0016564686999997987,10.29000012908575
3168.0,0.0006770580000000038,2.144919744000012
24965.0,0.006977322499998594,174.18885621246488
49973.928,0.01341894100000786,670.5971913706408
11675.0,0.002497631999999462,29.159853599993717
3588.928,0.0009511671000000097,3.4136702378688346
15988.0,0.00423742869999917,67.74801005558673
2240.0,0.0005014500000000039,1.1232480000000087
6227.01,0.0016581426999997984,10.325271174325746
4920.0,0.0009716820000000044,4.780675440000022
24937.0,0.006972300499998603,173.86825756846517
49957.928,0.013415593000007848,670.215229171696
21049.0,0.004066169999998789,85.58881232997452
3588.928,0.0009511671000000096,3.4136702378688346
15988.0,0.00423742869999917,67.74801005558673
2275.0,0.0005064720000000038,1.1522238000000087
6292.01,0.0016698606999997934,10.5067802230057
4544.0,0.0009080700000000041,4.126270080000019
28031.0,0.0074912404999983905,209.9869624554549
49231.0,0.013295065000007874,654.5293450153877
20451.0,0.00396740399999884,81.13737920397628
3588.928,0.0009511671000000097,3.4136702378688346
15988.0,0.00423742869999917,67.74801005558673
2240.0,0.0005014500000000039,1.1232480000000087
6235.01,0.0016598166999997974,10.348973722665738
4920.0,0.0009716820000000044,4.780675440000022
24938.0,0.006972300499998604,173.8752298689652
49271.0,0.013301761000007475,655.3910662313683
20932.0,0.004047755999998796,84.72762859197479
3588.928,0.0009511671000000096,3.4136702378688346
15988.0,0.00423742869999917,67.74801005558673
2544.0,0.0005516700000000037,1.4034484800000093
6235.01,0.0016598166999997974,10.348973722665738
3232.0,0.0006887760000000037,2.226124032000012
24885.0,0.006963930499998601,173.2974104924652
49429.01,0.013326871000007562,658.7340399280838
11567.0,0.0024792179999994692,28.67711460599386
3003.928,0.0008540750999999162,2.565580106992548
16176.0,0.004269234699999849,69.05914050719755
2664.0,0.0005717579999999739,1.5231633119999304
4075.01,0.0012982326999997984,5.290311234826179
2341.0,0.0005397899999999867,1.2636483899999689
19222.0,0.006016446500003682,115.64813462307077
25415.0,0.009307597000001739,236.55257775504418
7989.0,0.0018799259999995495,15.0187288139964
3003.928,0.0008540750999999162,2.565580106992548
16176.0,0.004269234699999849,69.05914050719755
2664.0,0.0005717579999999739,1.5231633119999304
4075.01,0.0012982326999997984,5.290311234826179
2308.0,0.0005330939999999893,1.2303809519999753
19174.0,0.006008076500003668,115.19885881107034
26077.0,0.009418081000001384,245.5952982370361
13253.0,0.0027621239999991646,36.60642937198893
3003.928,0.0008540750999999162,2.565580106992548
16176.0,0.004269234699999849,69.05914050719755
2664.0,0.0005717579999999739,1.5231633119999304
4075.01,0.0012982326999997984,5.290311234826179
2206.0,0.0005163539999999951,1.1390769239999892
19385.0,0.006043230500003743,117.14802324257256
26343.0,0.009463279000001313,249.29115869703458
14348.0,0.002944589999999095,42.24897731998701
3003.928,0.0008540750999999162,2.565580106992548
16176.0,0.004269234699999849,69.05914050719755
2664.0,0.0005717579999999739,1.5231633119999304
4075.01,0.0012982326999997984,5.290311234826179
2308.0,0.0005330939999999893,1.2303809519999753
19198.0,0.006011424500003671,115.40732755107048
25670.0,0.009351121000001626,240.04327607004174
13104.0,0.002737013999999176,35.8658314559892
3003.928,0.0008540750999999162,2.565580106992548
16176.0,0.004269234699999849,69.05914050719755
2664.0,0.0005717579999999739,1.5231633119999304
4075.01,0.0012982326999997984,5.290311234826179
2688.0,0.0005967059999999665,1.60394572799991
18559.0,0.005904288500003473,109.57769027156446
25476.0,0.009317641000001738,237.3762221160443
8739.0,0.0020054759999994973,17.525854763995607
3003.928,0.0008540751000000091,2.5655801069928272
16176.0,0.004269234700000015,69.05914050720024
2664.0,0.0005717580000000036,1.5231633120000097
2552.01,0.001043784699999951,2.6637489922468753
2001.0,0.00048287400000000396,0.966230874000008
17641.0,0.005751954499996507,101.47022933443839
21027.0,0.008572710999991993,180.25839419683163
3003.928,0.0008540751000000091,2.5655801069928272
16176.0,0.004269234700000015,69.05914050720024
2664.0,0.0005717580000000036,1.5231633120000097
2552.01,0.001043784699999951,2.6637489922468753
2007.0,0.00048287400000000396,0.969128118000008
17154.0,0.00566992849999668,97.26195348894305
20350.0,0.008460552999992436,172.17225354984606
9136.0,0.0020724359999991244,18.933775295992
3003.928,0.0008540751000000091,2.5655801069928272
16176.0,0.004269234700000015,69.05914050720024
2664.0,0.0005717580000000036,1.5231633120000097
2552.01,0.001043784699999951,2.6637489922468753
2192.0,0.000514680000000004,1.1281785600000087
17092.0,0.005659884499996697,96.73874587394354
21750.0,0.00869491299999133,189.11435774981143
11259.0,0.002427323999999431,27.32924091599359
3003.928,0.0008540751000000091,2.5655801069928272
16176.0,0.004269234700000015,69.05914050720024
2664.0,0.0005717580000000036,1.5231633120000097
2552.01,0.001043784699999951,2.6637489922468753
1828.0,0.00045274200000000364,0.8276123760000067
17677.0,0.00575697649999651,101.76607359043831
20421.0,0.008472270999992343,173.01224609084363
8485.0,0.0019636259999990468,16.661366609991912
3003.928,0.0008540751000000091,2.5655801069928272
16176.0,0.004269234700000015,69.05914050720024
2664.0,0.0005717580000000036,1.5231633120000097
2552.01,0.001043784699999951,2.6637489922468753
1880.0,0.0004627860000000039,0.8700376800000073
17657.0,0.0057536284999965106,101.59181842443839
20374.0,0.00846390099999241,172.44351897384536
7429.0,0.0017861819999992134,13.269546077994157
3632.928,0.0009595370999999121,3.4859291976284807
16176.0,0.004269234699998776,69.0591405071802
