experiment_num,timestamp,soc_config,scheduler,workload_name,job_list,job_probabilities,ave_latency,average_concurrent_jobs,completed_jobs,cumulative_execution_time,data_colocated,data_forwarded,data_from_memory,deadlines_met,deadlines_missed,edp,execution_time,injected_jobs,memory_bandwidth,num_RELIEF_forwards,num_colocations,num_forwards,time_moving_memory,total_energy
1,2025-12-02 18:54:54,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,FCFS,single_canny,"[[1,0,0,0,0]]",[],3653.928,1.0,1,3653.93,196608,507904,213680,1,0,3.52,3653.93,1,5280,0,3,8,0,0.000963
2,2025-12-02 18:54:54,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,FCFS,single_deblur,"[[0,1,0,0,0]]",[],16032.0,1.0,1,16032.0,0,1687552,345580,1,0,68.07,16032.0,1,5280,0,0,26,0,0.004246
3,2025-12-02 18:54:55,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,FCFS,single_gru,"[[0,0,1,0,0]]",[],3872.0,1.0,1,3872.0,4587520,0,9568256,1,0,3.0,3872.0,1,5280,0,70,0,0,0.000774
4,2025-12-02 18:54:55,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,FCFS,single_harris,"[[0,0,0,1,0]]",[],6544.01,1.0,1,6544.01,131072,638976,672636,1,0,11.2,6544.01,1,5280,0,2,10,0,0.001712
5,2025-12-02 18:54:56,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,FCFS,single_lstm,"[[0,0,0,0,1]]",[],5504.0,1.0,1,5504.0,2555904,0,13697024,1,0,5.88,5504.0,1,5280,0,39,0,0,0.001069
6,2025-12-02 18:54:57,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,FCFS,mixed_balanced,"[[1,1,1,1,1]]",[],13943.7876,3.0,5,69718.94,3342336,1589248,29871128,2,3,180.13,25492.0,5,5280,0,51,25,0,0.007066
7,2025-12-02 18:54:58,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,FCFS,mixed_vision_heavy,"[[2,2,0,2,0]]",[],27635.979333,3.5,6,165815.88,655360,2490368,5642288,2,4,685.88,50670.0,6,5280,0,10,39,0,0.013536
8,2025-12-02 18:54:59,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,FCFS,mixed_ml_heavy,"[[0,0,2,0,2]]",[],20488.5,2.5,4,81954.0,4325376,0,56492032,0,4,93.15,22021.0,4,5280,0,66,0,0,0.00423
9,2025-12-02 18:54:59,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,FCFS,single_canny,"[[1,0,0,0,0]]",[],3049.928,1.0,1,3049.93,196608,573440,148144,1,0,2.63,3049.93,1,5280,0,3,9,0,0.000861
10,2025-12-02 18:55:00,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,FCFS,single_deblur,"[[0,1,0,0,0]]",[],16032.0,1.0,1,16032.0,0,1687552,345580,1,0,68.07,16032.0,1,5280,0,0,26,0,0.004246
11,2025-12-02 18:55:01,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,FCFS,single_gru,"[[0,0,1,0,0]]",[],2636.0,1.0,1,2636.0,6750208,1441792,5963776,1,0,1.49,2636.0,1,5280,0,103,22,0,0.000567
12,2025-12-02 18:55:01,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,FCFS,single_harris,"[[0,0,0,1,0]]",[],4163.01,1.0,1,4163.01,262144,901120,279420,1,0,5.47,4163.01,1,5280,0,4,14,0,0.001313
13,2025-12-02 18:55:02,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,FCFS,single_lstm,"[[0,0,0,0,1]]",[],5660.0,1.0,1,5660.0,3014656,1507328,11730944,1,0,6.2,5660.0,1,5280,0,46,23,0,0.001096
14,2025-12-02 18:55:03,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,FCFS,mixed_balanced,"[[1,1,1,1,1]]",[],12465.5876,3.0,5,62327.94,6815744,2375680,25611288,2,3,144.77,22215.0,5,5280,0,104,37,0,0.006517
15,2025-12-02 18:55:04,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,FCFS,mixed_vision_heavy,"[[2,2,0,2,0]]",[],15542.479333,3.5,6,93254.88,589824,4292608,3905584,4,2,262.81,27308.0,6,5280,0,9,67,0,0.009624
16,2025-12-02 18:55:05,SoC.i2_g2_cv2_h2_e2_c2_el2.txt,FCFS,mixed_ml_heavy,"[[0,0,2,0,2]]",[],19256.5,2.5,4,77026.0,5570560,983040,54263808,0,4,81.68,20527.0,4,5280,0,85,15,0,0.003979
