experiment_num,timestamp,soc_config,scheduler,workload_name,job_list,job_probabilities,ave_latency,average_concurrent_jobs,completed_jobs,cumulative_execution_time,data_colocated,data_forwarded,data_from_memory,deadlines_met,deadlines_missed,edp,execution_time,injected_jobs,memory_bandwidth,num_RELIEF_forwards,num_colocations,num_forwards,time_moving_memory,total_energy
1,2025-12-01 20:32:04,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,single_canny,"[[1,0,0,0,0]]",[],3593.928,1.0,1,3593.93,196608,573440,148144,1,0,3.42,3593.93,1,8000,10,3,9,0,0.000953
2,2025-12-01 20:32:05,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,single_deblur,"[[0,1,0,0,0]]",[],15892.0,1.0,1,15892.0,0,1687552,345580,1,0,67.1,15892.0,1,8000,22,0,26,0,0.004222
3,2025-12-01 20:32:06,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,single_gru,"[[0,0,1,0,0]]",[],2432.0,1.0,1,2432.0,7274496,0,6881280,1,0,1.3,2432.0,1,8000,104,111,0,0,0.000533
4,2025-12-01 20:32:06,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,single_harris,"[[0,0,0,1,0]]",[],6943.01,1.0,1,6943.01,262144,573440,607100,1,0,12.35,6943.01,1,8000,12,4,9,0,0.001779
5,2025-12-01 20:32:07,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,single_lstm,"[[0,0,0,0,1]]",[],3040.0,1.0,1,3040.0,7798784,0,8454144,1,0,2.0,3040.0,1,8000,120,119,0,0,0.000657
6,2025-12-01 20:32:08,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,mixed_balanced,"[[1,1,1,1,1]]",[],10651.5876,3.0,5,53257.94,15532032,1720320,17550360,4,1,181.5,25614.0,5,8000,259,237,27,0,0.007086
7,2025-12-01 20:32:09,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,mixed_vision_heavy,"[[2,2,0,2,0]]",[],27401.979333,3.5,6,164411.88,917504,2818048,5052464,3,3,757.24,53838.0,6,8000,62,14,44,0,0.014065
8,2025-12-01 20:32:10,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,RELIEF,mixed_ml_heavy,"[[0,0,2,0,2]]",[],6931.5,2.5,4,27726.0,30146560,0,30670848,2,2,26.0,10944.0,4,8000,445,460,0,0,0.002375
9,2025-12-01 20:32:10,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,LL,single_canny,"[[1,0,0,0,0]]",[],3593.928,1.0,1,3593.93,196608,573440,148144,1,0,3.42,3593.93,1,8000,0,3,9,0,0.000953
10,2025-12-01 20:32:11,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,LL,single_deblur,"[[0,1,0,0,0]]",[],15892.0,1.0,1,15892.0,0,1687552,345580,1,0,67.1,15892.0,1,8000,0,0,26,0,0.004222
11,2025-12-01 20:32:11,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,LL,single_gru,"[[0,0,1,0,0]]",[],2480.0,1.0,1,2480.0,6815744,0,7340032,1,0,1.34,2480.0,1,8000,0,104,0,0,0.000542
12,2025-12-01 20:32:12,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,LL,single_harris,"[[0,0,0,1,0]]",[],6871.01,1.0,1,6871.01,262144,573440,607100,1,0,12.14,6871.01,1,8000,0,4,9,0,0.001767
13,2025-12-01 20:32:13,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,LL,single_lstm,"[[0,0,0,0,1]]",[],3288.0,1.0,1,3288.0,6750208,0,9502720,1,0,2.29,3288.0,1,8000,0,103,0,0,0.000697
