experiment_num,timestamp,soc_config,scheduler,workload_name,job_list,job_probabilities,memory_bandwidth,arbitration_type,ave_latency,average_concurrent_jobs,completed_jobs,cumulative_execution_time,data_colocated,data_forwarded,data_from_memory,deadlines_met,deadlines_missed,edp,execution_time,injected_jobs,num_RELIEF_forwards,num_colocations,num_forwards,time_moving_memory,total_energy
83,2025-12-02 09:14:25,SoC.COMM_a1_A3_m1_f3_v3.txt,LL,mixed_2rx_2tx,"[[2,2]]",[],5280,min,197.75,1.5,4,791.0,24168,58112,20720,3,1,3.3,678.0,4,0,52,82,0,0.00486
84,2025-12-02 09:14:25,SoC.COMM_a1_A3_m1_f3_v3.txt,LL,mixed_3rx_3tx,"[[3,3]]",[],5280,min,280.0,1.83,6,1680.0,38076,85344,31080,2,4,6.85,946.0,6,0,82,119,0,0.007241
85,2025-12-02 09:14:26,SoC.COMM_a1_A3_m1_f3_v3.txt,GEDF_D,single_tx,"[[0,1]]",[],5280,min,73.0,1.0,1,73.0,7504,13456,120,1,0,0.03,73.0,1,0,13,17,0,0.000351
86,2025-12-02 09:14:26,SoC.COMM_a1_A3_m1_f3_v3.txt,GEDF_D,single_rx,"[[1,0]]",[],5280,min,298.0,1.0,1,298.0,6256,13924,10240,1,0,0.63,298.0,1,0,13,24,0,0.002102
87,2025-12-02 09:14:27,SoC.COMM_a1_A3_m1_f3_v3.txt,GEDF_D,mixed_1rx_1tx,"[[1,1]]",[],5280,min,211.0,1.5,2,422.0,12640,28500,10360,1,1,0.79,322.0,2,0,24,43,0,0.002439
88,2025-12-02 09:14:27,SoC.COMM_a1_A3_m1_f3_v3.txt,GEDF_D,mixed_2rx_1tx,"[[2,1]]",[],5280,min,240.0,1.33,3,720.0,18896,42424,20600,2,1,2.83,625.0,3,0,37,67,0,0.004525
89,2025-12-02 09:14:28,SoC.COMM_a1_A3_m1_f3_v3.txt,GEDF_D,mixed_1rx_2tx,"[[1,2]]",[],5280,min,165.0,1.33,3,495.0,20144,41956,10480,2,1,1.12,400.0,3,0,37,60,0,0.002788
90,2025-12-02 09:14:28,SoC.COMM_a1_A3_m1_f3_v3.txt,GEDF_D,mixed_2rx_2tx,"[[2,2]]",[],5280,min,199.5,1.5,4,798.0,19280,63000,20720,3,1,3.32,683.0,4,0,45,89,0,0.004866
91,2025-12-02 09:14:29,SoC.COMM_a1_A3_m1_f3_v3.txt,GEDF_D,mixed_3rx_3tx,"[[3,3]]",[],5280,min,279.166667,1.83,6,1675.0,33320,90100,31080,2,4,6.85,946.0,6,0,74,127,0,0.007246
92,2025-12-02 09:14:29,SoC.COMM_a1_A3_m1_f3_v3.txt,GEDF_N,single_tx,"[[0,1]]",[],5280,min,73.0,1.0,1,73.0,7504,13456,120,1,0,0.03,73.0,1,0,13,17,0,0.000351
93,2025-12-02 09:14:30,SoC.COMM_a1_A3_m1_f3_v3.txt,GEDF_N,single_rx,"[[1,0]]",[],5280,min,298.0,1.0,1,298.0,6304,13876,10240,1,0,0.63,298.0,1,0,14,23,0,0.002101
