experiment_num,timestamp,soc_config,scheduler,workload_name,job_list,job_probabilities,ave_latency,average_concurrent_jobs,completed_jobs,cumulative_execution_time,data_colocated,data_forwarded,data_from_memory,deadlines_met,deadlines_missed,edp,execution_time,injected_jobs,memory_bandwidth,num_RELIEF_forwards,num_colocations,num_forwards,time_moving_memory,total_energy
24,2025-12-02 18:57:53,SoC.i3_g3_cv3_h3_e3_c3_el3.txt,FCFS,mixed_ml_heavy,"[[0,0,2,0,2]]",[],75962.0,2.5,4,303848.0,7667712,1441792,51707904,0,4,1075.91,78562.0,4,16000,0,117,22,0,0.013695
25,2025-12-02 18:57:54,SoC.i4_g1_cv1_h1_e1_c1_el1.txt,FCFS,single_canny,"[[1,0,0,0,0]]",[],3550.928,1.0,1,3550.93,196608,507904,213680,1,0,3.36,3550.93,1,16000,0,3,8,0,0.000946
26,2025-12-02 18:57:55,SoC.i4_g1_cv1_h1_e1_c1_el1.txt,FCFS,single_deblur,"[[0,1,0,0,0]]",[],15756.0,1.0,1,15756.0,0,1687552,345580,1,0,66.16,15756.0,1,16000,0,0,26,0,0.004199
27,2025-12-02 18:57:55,SoC.i4_g1_cv1_h1_e1_c1_el1.txt,FCFS,single_gru,"[[0,0,1,0,0]]",[],2258.0,1.0,1,2258.0,4587520,0,9568256,1,0,1.14,2258.0,1,16000,0,70,0,0,0.000503
28,2025-12-02 18:57:56,SoC.i4_g1_cv1_h1_e1_c1_el1.txt,FCFS,single_harris,"[[0,0,0,1,0]]",[],8824.01,1.0,1,8824.01,131072,638976,672636,1,0,18.47,8824.01,1,16000,0,2,10,0,0.002093
29,2025-12-02 18:57:56,SoC.i4_g1_cv1_h1_e1_c1_el1.txt,FCFS,single_lstm,"[[0,0,0,0,1]]",[],3024.0,1.0,1,3024.0,2555904,0,13697024,1,0,1.98,3024.0,1,16000,0,39,0,0,0.000654
30,2025-12-02 18:57:58,SoC.i4_g1_cv1_h1_e1_c1_el1.txt,FCFS,mixed_balanced,"[[1,1,1,1,1]]",[],14598.3876,3.0,5,72991.94,3604480,1523712,29674520,3,2,238.64,30312.0,5,16000,0,55,24,0,0.007873
31,2025-12-02 18:57:59,SoC.i4_g1_cv1_h1_e1_c1_el1.txt,FCFS,mixed_vision_heavy,"[[2,2,0,2,0]]",[],40529.812667,3.5,6,243178.88,655360,2588672,5543984,1,5,1259.69,72959.0,6,16000,0,10,41,0,0.017266
32,2025-12-02 18:58:00,SoC.i4_g1_cv1_h1_e1_c1_el1.txt,FCFS,mixed_ml_heavy,"[[0,0,2,0,2]]",[],10888.25,2.5,4,43553.0,4456448,0,56360960,0,4,29.77,11810.0,4,16000,0,68,0,0,0.002521
33,2025-12-02 18:58:00,SoC.i1_g4_cv1_h1_e1_c1_el1.txt,FCFS,single_canny,"[[1,0,0,0,0]]",[],3550.928,1.0,1,3550.93,196608,507904,213680,1,0,3.36,3550.93,1,16000,0,3,8,0,0.000946
