experiment_num,timestamp,soc_config,scheduler,workload_name,job_list,job_probabilities,ave_latency,average_concurrent_jobs,completed_jobs,cumulative_execution_time,data_colocated,data_forwarded,data_from_memory,deadlines_met,deadlines_missed,edp,execution_time,injected_jobs,memory_bandwidth,num_RELIEF_forwards,num_colocations,num_forwards,task_runtime_variance,time_moving_memory,total_energy
23,2025-12-04 14:33:20,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,GEDF_D,mixed_vision_heavy,"[[2,2,0,2,0]]",[],25343.833333,3.0,6,152063.0,917504,2179072,5691440,2,4,755.82,53740.0,6,5280,0,14,34,365727176,0,0.014064
24,2025-12-04 14:33:21,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,GEDF_D,mixed_ml_heavy,"[[0,0,2,0,2]]",[],20508.0,2.5,4,82032.0,5242880,0,55574528,0,4,91.92,21867.0,4,5280,0,80,0,2393660,0,0.004204
25,2025-12-04 14:33:22,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,GEDF_N,single_canny,"[[1,0,0,0,0]]",[],4050.0,1.0,1,4050.0,327680,573440,17072,1,0,4.36,4050.0,1,5280,0,5,9,,0,0.001075
26,2025-12-04 14:33:22,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,GEDF_N,single_deblur,"[[0,1,0,0,0]]",[],16700.0,1.0,1,16700.0,0,1687552,345580,0,1,73.9,16700.0,1,5280,0,0,26,,0,0.004425
27,2025-12-04 14:33:23,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,GEDF_N,single_gru,"[[0,0,1,0,0]]",[],3771.0,1.0,1,3771.0,4653056,0,9502720,1,0,2.86,3771.0,1,5280,0,71,0,,0,0.000759
28,2025-12-04 14:33:23,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,GEDF_N,single_harris,"[[0,0,0,1,0]]",[],7057.0,1.0,1,7057.0,196608,507904,738172,1,0,12.94,7057.0,1,5280,0,3,8,,0,0.001834
29,2025-12-04 14:33:24,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,GEDF_N,single_lstm,"[[0,0,0,0,1]]",[],5342.0,1.0,1,5342.0,3080192,0,13172736,1,0,5.58,5342.0,1,5280,0,47,0,,0,0.001044
30,2025-12-04 14:33:25,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,GEDF_N,mixed_balanced,"[[1,1,1,1,1]]",[],13853.4,2.8,5,69267.0,8192000,966656,25644056,3,2,183.54,25898.0,5,5280,0,125,15,68262472,0,0.007087
31,2025-12-04 14:33:26,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,GEDF_N,mixed_vision_heavy,"[[2,2,0,2,0]]",[],28193.666667,3.0,6,169162.0,655360,2572288,5560368,0,6,840.68,57099.0,6,5280,0,10,40,226011473,0,0.014723
32,2025-12-04 14:33:27,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,GEDF_N,mixed_ml_heavy,"[[0,0,2,0,2]]",[],22162.5,2.5,4,88650.0,3276800,0,57540608,0,4,94.67,22217.0,4,5280,0,50,0,2076,0,0.004261
33,2025-12-04 14:33:28,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,HetSched,single_canny,"[[1,0,0,0,0]]",[],4085.0,1.0,1,4085.0,262144,507904,148144,1,0,4.41,4085.0,1,5280,0,4,8,,0,0.00108
34,2025-12-04 14:33:28,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,HetSched,single_deblur,"[[0,1,0,0,0]]",[],16700.0,1.0,1,16700.0,0,1687552,345580,0,1,73.9,16700.0,1,5280,0,0,26,,0,0.004425
35,2025-12-04 14:33:29,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,HetSched,single_gru,"[[0,0,1,0,0]]",[],2921.0,1.0,1,2921.0,7274496,0,6881280,1,0,1.8,2921.0,1,5280,0,111,0,,0,0.000617
36,2025-12-04 14:33:29,SoC.i1_g1_cv1_h1_e1_c1_el1.txt,HetSched,single_harris,"[[0,0,0,1,0]]",[],7120.0,1.0,1,7120.0,262144,638976,541564,1,0,13.14,7120.0,1,5280,0,4,10,,0,0.001846
