app_mix_label,app_mix_list,app_mix_str,application,application_mix,avg_deadline_difference,avg_slowdown,dag_deadlines_met,deadline,final_tick,forwards_only,host_seconds,max_deadline_difference,max_slowdown,median_deadline_difference,median_slowdown,mem_ctrls.bw_total::total,min_deadline_difference,min_slowdown,node_deadlines_met,num_apps,num_colocations,num_edges,num_forwards,num_nodes,percent_colocations,percent_dag_deadlines_met,percent_forwards,percent_node_deadlines_met,policy,sim_insts,sim_seconds,sim_ticks,slowdown_p25,slowdown_p75,system.cpu.cpi,system.cpu.ipc,total_dags,total_edges,total_nodes
,"[0, 0, 1, 0, 0]",canny_0_deblur_0_gru_1_harris_0_lstm_0_,gru,,,,1,8000.0,8425685000.0,0,18508.47,,,,,3011814377.0,,,120,1,103,149.0,103,120.0,69.1275167785235,100.0,69.1275167785235,100.0,ELF,6865798.0,0.0033350000000000003,3334898750.0,,,2.5650720000000002,0.389853,120,,
,"[0, 0, 0, 1, 0]",canny_0_deblur_0_gru_0_harris_1_lstm_0_,harris,,,,1,16667.0,6668798125.0,14,3656.59,,,,,188787691.0,,,18,1,2,22.0,16,18.0,9.090909090909092,100.0,72.72727272727273,100.0,FCFS,144259.0,0.006436,6436330625.0,,,4.844103,0.20643699999999998,18,,
,"[0, 0, 0, 1, 0]",canny_0_deblur_0_gru_0_harris_1_lstm_0_,harris,,,,1,16667.0,6669506875.0,14,3708.06,,,,,188769544.0,,,18,1,2,22.0,16,18.0,9.090909090909092,100.0,72.72727272727273,100.0,GEDF_D,144458.0,0.006437000000000001,6436949375.0,,,4.8323529999999995,0.20693899999999998,18,,
,"[0, 0, 0, 1, 0]",canny_0_deblur_0_gru_0_harris_1_lstm_0_,harris,,,,1,16667.0,6542981875.0,14,3854.0,,,,,171783692.0,,,18,1,3,22.0,17,18.0,13.636363636363635,100.0,77.27272727272727,100.0,GEDF_N,143791.0,0.0063100000000000005,6310424375.0,,,4.805425,0.208098,18,,
,"[0, 0, 0, 1, 0]",canny_0_deblur_0_gru_0_harris_1_lstm_0_,harris,,,,1,16667.0,6559013750.0,14,3271.11,,,,,171357490.0,,,18,1,3,22.0,17,18.0,13.636363636363635,100.0,77.27272727272727,100.0,LAX,182437.0,0.006326,6325746250.0,,,2.7579,0.362595,18,,
,"[0, 0, 0, 1, 0]",canny_0_deblur_0_gru_0_harris_1_lstm_0_,harris,,,,1,16667.0,6546844375.0,14,2208.66,,,,,150904000.0,,,18,1,4,22.0,18,18.0,18.181818181818183,100.0,81.81818181818183,100.0,HetSched,150517.0,0.006314,6313709375.0,,,4.123611,0.242506,18,,
,"[0, 0, 0, 1, 0]",canny_0_deblur_0_gru_0_harris_1_lstm_0_,harris,,,,1,16667.0,6562681875.0,14,3214.3,,,,,150610622.0,,,18,1,4,22.0,18,18.0,18.181818181818183,100.0,81.81818181818183,100.0,ELF,178809.0,0.0063289999999999996,6329407500.0,,,2.8615060000000003,0.349466,18,,
,"[0, 0, 0, 0, 1]",canny_0_deblur_0_gru_0_harris_0_lstm_1_,lstm,,,,1,8000.0,11076991875.0,0,23525.69,,,,,4072994111.0,,,144,1,39,174.0,39,144.0,22.41379310344828,100.0,22.41379310344828,100.0,FCFS,6990494.0,0.005304,5303852500.0,,,4.445285,0.22495700000000002,144,,
,"[0, 0, 0, 0, 1]",canny_0_deblur_0_gru_0_harris_0_lstm_1_,lstm,,,,1,8000.0,11081759375.0,0,23122.4,,,,,4069484333.0,,,144,1,39,174.0,39,144.0,22.41379310344828,100.0,22.41379310344828,100.0,GEDF_D,6993423.0,0.005308,5308426875.0,,,4.4204099999999995,0.226223,144,,
,"[0, 0, 0, 0, 1]",canny_0_deblur_0_gru_0_harris_0_lstm_1_,lstm,,,,1,8000.0,11353439375.0,0,23430.76,,,,,4164966822.0,,,144,1,23,174.0,23,144.0,13.218390804597702,100.0,13.218390804597702,100.0,GEDF_N,7003344.0,0.00558,5580106875.0,,,4.43527,0.225465,144,,
,"[0, 0, 0, 0, 1]",canny_0_deblur_0_gru_0_harris_0_lstm_1_,lstm,,,,1,8000.0,11396832500.0,0,21741.76,,,,,3946741774.0,,,144,1,31,174.0,31,144.0,17.81609195402299,100.0,17.81609195402299,100.0,LAX,7351115.0,0.0056229999999999995,5623028125.0,,,2.436433,0.41043599999999997,144,,
,"[0, 0, 0, 0, 1]",canny_0_deblur_0_gru_0_harris_0_lstm_1_,lstm,,,,1,8000.0,10354893750.0,0,18855.73,,,,,3597953627.0,,,144,1,79,174.0,79,144.0,45.40229885057471,100.0,45.40229885057471,100.0,HetSched,7026741.0,0.004547,4547313750.0,,,3.6179370000000004,0.276401,144,,
,"[0, 0, 0, 0, 1]",canny_0_deblur_0_gru_0_harris_0_lstm_1_,lstm,,,,1,8000.0,9609622500.0,0,21789.83,,,,,2898220874.0,,,144,1,119,174.0,119,144.0,68.39080459770115,100.0,68.39080459770115,100.0,ELF,7142419.0,0.003836,3835732500.0,,,2.5846270000000002,0.386903,144,,
CD,"[1, 1, 0, 0, 0]",canny_1_deblur_1_gru_0_harris_0_lstm_0_,,canny-deblur,,,1,,19233820000.0,31,10419.31,,,,,79249344.0,,,14,2,4,,35,,9.090909090909092,50.0,79.54545454545455,41.1764705882353,FCFS,221400.0,0.018897999999999998,18897670625.0,,,4.625782,0.21618,34,44.0,34.0
